Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km
SP,ANIMALE ALPHAVILLE CM,SE,ANIMALE ARACAJU CM,1734.402
SP,ANIMALE ALPHAVILLE CM,SC,ANIMALE BALNEARIO SHOP CM,427.973
SP,ANIMALE ALPHAVILLE CM,PR,ANIMALE BARIGUI CM,331.102
SP,ANIMALE ALPHAVILLE CM,BA,ANIMALE BARRA SALVADOR CM,1455.657
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE BARRA SHOP CM,353.851
SP,ANIMALE ALPHAVILLE CM,RS,ANIMALE BARRA SUL CM,851.203
SP,ANIMALE ALPHAVILLE CM,PE,ANIMALE RECIFE CM,2126.489
SP,ANIMALE ALPHAVILLE CM,DF,ANIMALE IGUATEMI BSB CM,1477.598
SP,ANIMALE ALPHAVILLE CM,ES,ANIMALE PRAIA DO CANTO CM,764.296
SP,ANIMALE ALPHAVILLE CM,PA,ANIMALE BELEM CM,2445.491
SP,ANIMALE ALPHAVILLE CM,MG,ANIMALE BH SHOP CM,460.907
SP,ANIMALE ALPHAVILLE CM,MS,ANIMALE CAMPO GRANDE CM,866.638
SP,ANIMALE ALPHAVILLE CM,PB,ANIMALE JOAO PESSOA CM,2222.188
SP,ANIMALE ALPHAVILLE CM,AL,ANIMALE MACEIO CM,1938.491
SP,ANIMALE ALPHAVILLE CM,MT,ANIMALE ESTACAO CUIABA CM,1307.485
SP,ANIMALE ALPHAVILLE CM,GO,ANIMALE FLAMBOYANT CM,791.635
SP,ANIMALE ALPHAVILLE CM,CE,ANIMALE FORTALEZA CM,2361.084
SP,ANIMALE ALPHAVILLE CM,AM,ANIMALE MANAUARA CM,2664.115
SP,ANIMALE ALPHAVILLE CM,RN,ANIMALE NATAL CM,2317.609
SE,ANIMALE ARACAJU CM,SC,ANIMALE BALNEARIO SHOP CM,2152.288
SE,ANIMALE ARACAJU CM,PR,ANIMALE BARIGUI CM,2060.888
SE,ANIMALE ARACAJU CM,BA,ANIMALE BARRA SALVADOR CM,278.754
SE,ANIMALE ARACAJU CM,RJ,ANIMALE BARRA SHOP CM,1496.85
SE,ANIMALE ARACAJU CM,RS,ANIMALE BARRA SUL CM,2579.109
SE,ANIMALE ARACAJU CM,PE,ANIMALE RECIFE CM,392.213
SE,ANIMALE ARACAJU CM,DF,ANIMALE IGUATEMI BSB CM,1239.184
SE,ANIMALE ARACAJU CM,ES,ANIMALE PRAIA DO CANTO CM,1090.884
SE,ANIMALE ARACAJU CM,PA,ANIMALE BELEM CM,1644.594
SE,ANIMALE ARACAJU CM,MG,ANIMALE BH SHOP CM,1273.72
SE,ANIMALE ARACAJU CM,MS,ANIMALE CAMPO GRANDE CM,2151.873
SE,ANIMALE ARACAJU CM,PB,ANIMALE JOAO PESSOA CM,489.779
SE,ANIMALE ARACAJU CM,AL,ANIMALE MACEIO CM,206.836
SE,ANIMALE ARACAJU CM,MT,ANIMALE ESTACAO CUIABA CM,2128.762
SE,ANIMALE ARACAJU CM,GO,ANIMALE FLAMBOYANT CM,1463.319
SE,ANIMALE ARACAJU CM,CE,ANIMALE FORTALEZA CM,810.308
SE,ANIMALE ARACAJU CM,AM,ANIMALE MANAUARA CM,2679.757
SE,ANIMALE ARACAJU CM,RN,ANIMALE NATAL CM,600.173
SC,ANIMALE BALNEARIO SHOP CM,PR,ANIMALE BARIGUI CM,185.596
SC,ANIMALE BALNEARIO SHOP CM,BA,ANIMALE BARRA SALVADOR CM,1873.805
SC,ANIMALE BALNEARIO SHOP CM,RJ,ANIMALE BARRA SHOP CM,686.927
SC,ANIMALE BALNEARIO SHOP CM,RS,ANIMALE BARRA SUL CM,426.846
SC,ANIMALE BALNEARIO SHOP CM,PE,ANIMALE RECIFE CM,2543.522
SC,ANIMALE BALNEARIO SHOP CM,DF,ANIMALE IGUATEMI BSB CM,1857.144
SC,ANIMALE BALNEARIO SHOP CM,ES,ANIMALE PRAIA DO CANTO CM,1129.24
SC,ANIMALE BALNEARIO SHOP CM,PA,ANIMALE BELEM CM,2826.984
SC,ANIMALE BALNEARIO SHOP CM,MG,ANIMALE BH SHOP CM,883.742
SC,ANIMALE BALNEARIO SHOP CM,MS,ANIMALE CAMPO GRANDE CM,943.433
SC,ANIMALE BALNEARIO SHOP CM,PB,ANIMALE JOAO PESSOA CM,2641.497
SC,ANIMALE BALNEARIO SHOP CM,AL,ANIMALE MACEIO CM,2354.518
SC,ANIMALE BALNEARIO SHOP CM,MT,ANIMALE ESTACAO CUIABA CM,1480.775
SC,ANIMALE BALNEARIO SHOP CM,GO,ANIMALE FLAMBOYANT CM,1140.72
SC,ANIMALE BALNEARIO SHOP CM,CE,ANIMALE FORTALEZA CM,2789.005
SC,ANIMALE BALNEARIO SHOP CM,AM,ANIMALE MANAUARA CM,2907.944
SC,ANIMALE BALNEARIO SHOP CM,RN,ANIMALE NATAL CM,2740.319
PR,ANIMALE BARIGUI CM,BA,ANIMALE BARRA SALVADOR CM,1782.352
PR,ANIMALE BARIGUI CM,RJ,ANIMALE BARRA SHOP CM,656.739
PR,ANIMALE BARIGUI CM,RS,ANIMALE BARRA SUL CM,548.819
PR,ANIMALE BARIGUI CM,PE,ANIMALE RECIFE CM,2453.101
PR,ANIMALE BARIGUI CM,DF,ANIMALE IGUATEMI BSB CM,1687.57
PR,ANIMALE BARIGUI CM,ES,ANIMALE PRAIA DO CANTO CM,1087.759
PR,ANIMALE BARIGUI CM,PA,ANIMALE BELEM CM,2655.956
PR,ANIMALE BARIGUI CM,MG,ANIMALE BH SHOP CM,787.807
PR,ANIMALE BARIGUI CM,MS,ANIMALE CAMPO GRANDE CM,770.801
PR,ANIMALE BARIGUI CM,PB,ANIMALE JOAO PESSOA CM,2547.225
PR,ANIMALE BARIGUI CM,AL,ANIMALE MACEIO CM,2265.804
PR,ANIMALE BARIGUI CM,MT,ANIMALE ESTACAO CUIABA CM,1299.217
