Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE IG RIBEIRAO CM,283.878
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE ALPHAVILLE CM,20.375
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE IGUATEMI SP CM,4.657
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE JK SAO PAULO CM,5.143
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE OSCAR FREIRE CM,2.558
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE SAO CAETANO CM,11.96
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE CAMPINAS CM,81.038
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE ELDORADO CM,3.108
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE GAL CAMPINAS CM,83.947
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE SJ RIO PRETO CM,410.492
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE VILA NOVA CM,10.418
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE VILLA LOBOS CM,5.482
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE MOEMA CM,6.884
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE MORUMBI CM,9.833
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE ALPHAVILLE CM,270.853
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE IGUATEMI SP CM,284.823
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE JK SAO PAULO CM,287.602
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE OSCAR FREIRE CM,285.131
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE SAO CAETANO CM,295.434
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE CAMPINAS CM,202.924
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE ELDORADO CM,285.189
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE GAL CAMPINAS CM,199.953
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE SJ RIO PRETO CM,168.867
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE VILA NOVA CM,293.887
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE VILLA LOBOS CM,284.948
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE MOEMA CM,289.598
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE MORUMBI CM,290.47
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE IGUATEMI SP CM,17.931
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE JK SAO PAULO CM,20.784
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE OSCAR FREIRE CM,19.666
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE SAO CAETANO CM,31.065
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE CAMPINAS CM,68.61
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE ELDORADO CM,19.32
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE GAL CAMPINAS CM,71.794
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE SJ RIO PRETO CM,392.945
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE VILA NOVA CM,26.508
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE VILLA LOBOS CM,17.545
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE MOEMA CM,22.302
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE MORUMBI CM,21.47
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE JK SAO PAULO CM,2.966
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE OSCAR FREIRE CM,2.356
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE SAO CAETANO CM,13.135
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE CAMPINAS CM,81.899
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE ELDORADO CM,1.786
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE GAL CAMPINAS CM,84.892
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE SJ RIO PRETO CM,409.902
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE VILA NOVA CM,9.231
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE VILLA LOBOS CM,0.826
