Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE ICARAI 02 CM,369.784
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE ICARAI CM,370.0
SP,ANIMALE HIGIENOPOLIS CM,SC,ANIMALE IG FLORIPA CM,485.85
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE IG RIBEIRAO CM,283.878
SP,ANIMALE HIGIENOPOLIS CM,RJ,BUZIOS CM,496.344
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE ALPHAVILLE CM,20.375
SP,ANIMALE HIGIENOPOLIS CM,SE,ANIMALE ARACAJU CM,1726.687
SP,ANIMALE HIGIENOPOLIS CM,SC,ANIMALE BALNEARIO SHOP CM,431.521
SP,ANIMALE HIGIENOPOLIS CM,PR,ANIMALE BARIGUI CM,342.62
SP,ANIMALE HIGIENOPOLIS CM,BA,ANIMALE BARRA SALVADOR CM,1447.935
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE BARRA SHOP CM,335.342
SP,ANIMALE HIGIENOPOLIS CM,RS,ANIMALE BARRA SUL CM,856.346
SP,ANIMALE HIGIENOPOLIS CM,PE,ANIMALE RECIFE CM,2118.655
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE RIO DESIGN CM,341.64
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE RIO SUL CM,361.177
SP,ANIMALE HIGIENOPOLIS CM,CE,ANIMALE RIOMAR FORTAL CM,2361.068
SP,ANIMALE HIGIENOPOLIS CM,PE,ANIMALE RIOMAR RECIFE CM,2121.658
SP,ANIMALE HIGIENOPOLIS CM,BA,ANIMALE SALVADOR CM,1454.854
SP,ANIMALE HIGIENOPOLIS CM,DF,ANIMALE IGUATEMI BSB CM,1485.469
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE IGUATEMI SP CM,4.657
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE IPANEMA CM,358.553
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE JK SAO PAULO CM,5.143
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE ORO IPANEMA CM,358.133
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE OSCAR FREIRE CM,2.558
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE PLAZA CM,363.535
SP,ANIMALE HIGIENOPOLIS CM,RS,ANIMALE PORTO ALEGRE CM,846.271
SP,ANIMALE HIGIENOPOLIS CM,ES,ANIMALE PRAIA DO CANTO CM,749.347
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE SAO CAETANO CM,11.96
SP,ANIMALE HIGIENOPOLIS CM,MG,ANIMALE SAVASSI CM,489.605
SP,ANIMALE HIGIENOPOLIS CM,PR,ANIMALE SHOP BATEL CM,339.524
SP,ANIMALE HIGIENOPOLIS CM,DF,ANIMALE SHOP BRASILIA CM,868.203
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE SHOP LEBLON CM,357.377
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE SHOP TIJUCA CM,355.138
SP,ANIMALE HIGIENOPOLIS CM,ES,ANIMALE SHOP VITORIA CM,748.73
SP,ANIMALE HIGIENOPOLIS CM,PA,ANIMALE BELEM CM,2452.64
SP,ANIMALE HIGIENOPOLIS CM,MG,ANIMALE BH SHOP CM,453.999
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE CAMPINAS CM,81.038
SP,ANIMALE HIGIENOPOLIS CM,MS,ANIMALE CAMPO GRANDE CM,886.925
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE ELDORADO CM,3.108
SP,ANIMALE HIGIENOPOLIS CM,PB,ANIMALE JOAO PESSOA CM,2214.883
SP,ANIMALE HIGIENOPOLIS CM,DF,ANIMALE LAGO SUL CM,861.169
SP,ANIMALE HIGIENOPOLIS CM,PR,ANIMALE LONDRINA CM,463.214
SP,ANIMALE HIGIENOPOLIS CM,MG,ANIMALE LOURDES CM,488.21
SP,ANIMALE HIGIENOPOLIS CM,AL,ANIMALE MACEIO CM,1930.414
SP,ANIMALE HIGIENOPOLIS CM,MT,ANIMALE ESTACAO CUIABA CM,1326.071
SP,ANIMALE HIGIENOPOLIS CM,GO,ANIMALE FLAMBOYANT CM,803.427
SP,ANIMALE HIGIENOPOLIS CM,SC,ANIMALE FLORIANOPOLIS CM,486.423
SP,ANIMALE HIGIENOPOLIS CM,CE,ANIMALE FORTALEZA CM,2358.427
