SKU,FILIAL,VELOCIDADE_VENDA,ALVO,PRESENTE,TRANSITO,EST_TOTAL,CONT_RUPTURA,CONT_FALTA,CONT_EXCESSO,VOLUME_EXCESSO,REGULADOR,EST_DISP
25.11.1683-0005-TAM_1,ANIMALE BARRA SHOP CM,0.0,1.0,6.0,0.0,6.0,0,0,1,5.0,25.0,6.0
27.03.1444-1100-TAM_1,ANIMALE BARRA SHOP CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,94.0,5.0
27.03.1447-1511-TAM_1,ANIMALE BARRA SHOP CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,118.0,5.0
27.04.0557-1511-TAM_1,ANIMALE BARRA SHOP CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,64.0,5.0
52.10.5337-09036-TAM_2,ANIMALE BARRA SHOP CM,0.0,1.0,7.0,0.0,7.0,0,0,1,6.0,0.0,7.0
52.15.1644-11073-TAM_1,ANIMALE BARRA SHOP CM,0.0,1.0,6.0,0.0,6.0,0,0,1,5.0,59.0,6.0
52.15.1647-11073-TAM_1,ANIMALE BARRA SHOP CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,55.0,5.0
52.15.1706-0003-TAM_2,ANIMALE BARRA SHOP CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,121.0,5.0
03.07.1526-10049-TAM_3,ANIMALE ICARAI 02 CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,0.0,5.0
27.03.1447-1511-TAM_1,ANIMALE ICARAI 02 CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,118.0,5.0
27.03.1448-1511-TAM_1,ANIMALE ICARAI 02 CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,22.0,5.0
27.04.0557-1511-TAM_1,ANIMALE ICARAI 02 CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,64.0,5.0
52.06.0847-11065-TAM_1,ANIMALE ICARAI 02 CM,0.16666666666666666,2.0,5.0,0.0,5.0,0,0,1,3.0,119.0,5.0
52.06.0847-11065-TAM_2,ANIMALE ICARAI 02 CM,0.0,2.0,6.0,0.0,6.0,0,0,1,4.0,58.0,6.0
52.10.5401-2028-TAM_1,ANIMALE ICARAI 02 CM,0.0,2.0,6.0,0.0,6.0,0,0,1,4.0,15.0,6.0
52.13.6338-52594-TAM_3,ANIMALE ICARAI 02 CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,4.0,5.0
52.15.1688-0005-TAM_1,ANIMALE ICARAI 02 CM,0.0,2.0,8.0,0.0,8.0,0,0,1,6.0,183.0,8.0
52.15.1688-0005-TAM_2,ANIMALE ICARAI 02 CM,0.08333333333333333,2.0,5.0,0.0,5.0,0,0,1,3.0,100.0,5.0
03.61.0100-0203-TAM_1,ANIMALE ICARAI CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,59.0,5.0
27.04.0557-1511-TAM_1,ANIMALE ICARAI CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,64.0,5.0
52.10.5375-6052-TAM_1,ANIMALE ICARAI CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,113.0,5.0
52.10.5377-04343-TAM_1,ANIMALE ICARAI CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,105.0,5.0
52.15.1643-2030-TAM_1,ANIMALE ICARAI CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,116.0,5.0
52.15.1647-11073-TAM_1,ANIMALE ICARAI CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,55.0,5.0
27.03.1447-1511-TAM_1,ANIMALE IPANEMA CM,0.0,1.0,5.0,0.0,5.0,0,0,1,4.0,118.0,5.0
