SKU,FILIAL,VELOCIDADE_VENDA,ALVO,TRANSITO,EST_DISP,EST_TOTAL,CONT_RUPTURA,CONT_FALTA,CONT_EXCESSO,VOLUME_EXCESSO,DATA
07.20.7091-04090-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7103-04349-TAM_2,ANIMALE OSCAR FREIRE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7155-10053-TAM_2,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7155-10053-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7270-1000-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7441-50457-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7441-50457-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7450-03354-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7505-50460-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7505-50460-TAM_6,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7543-5199-TAM_1,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7543-5199-TAM_2,ANIMALE OSCAR FREIRE CM,0.15384615384615385,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7551-52623-TAM_4,ANIMALE OSCAR FREIRE CM,0.0,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7554-11076-TAM_5,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7561-04505-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7605-03032-TAM_5,ANIMALE OSCAR FREIRE CM,0.1,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7736-52594-TAM_5,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7737-52564-TAM_1,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,1.0,0.0,1.0,1,0,0,0.0,2025-08-16
07.20.7760-52561-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7760-52561-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,1.0,0.0,1.0,1,0,0,0.0,2025-08-16
07.20.7760-52561-TAM_4,ANIMALE OSCAR FREIRE CM,0.1111111111111111,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7764-52561-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5456-0001-TAM_2,ANIMALE OSCAR FREIRE CM,0.09090909090909091,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5456-0005-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5828-0005-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5866-11055-TAM_1,ANIMALE OSCAR FREIRE CM,0.08333333333333333,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5866-11055-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5866-11055-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5867-0003-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5867-0005-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5867-0005-TAM_5,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5963-04349-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5963-04349-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5963-09036-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5989-0003-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5989-0003-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5989-0005-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.5989-0005-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
