Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km,Leadtime
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE HIGIENOPOLIS CM,348.796,7.848
SP,ANIMALE HIGIENOPOLIS CM,RJ,CENTRO DE DISTRIBUICAO,348.796,7.848
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE ICARAI 02 CM,26.246,0.591
RJ,ANIMALE ICARAI 02 CM,RJ,CENTRO DE DISTRIBUICAO,26.246,0.591
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE ICARAI CM,26.386,0.594
RJ,ANIMALE ICARAI CM,RJ,CENTRO DE DISTRIBUICAO,26.386,0.594
RJ,CENTRO DE DISTRIBUICAO,SC,ANIMALE IG FLORIPA CM,742.973,16.717
SC,ANIMALE IG FLORIPA CM,RJ,CENTRO DE DISTRIBUICAO,742.973,16.717
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE IG RIBEIRAO CM,495.541,11.15
SP,ANIMALE IG RIBEIRAO CM,RJ,CENTRO DE DISTRIBUICAO,495.541,11.15
RJ,CENTRO DE DISTRIBUICAO,RJ,BUZIOS CM,149.909,3.373
RJ,BUZIOS CM,RJ,CENTRO DE DISTRIBUICAO,149.909,3.373
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE ALPHAVILLE CM,366.8,8.253
SP,ANIMALE ALPHAVILLE CM,RJ,CENTRO DE DISTRIBUICAO,366.8,8.253
RJ,CENTRO DE DISTRIBUICAO,SE,ANIMALE ARACAJU CM,1473.344,33.15
SE,ANIMALE ARACAJU CM,RJ,CENTRO DE DISTRIBUICAO,1473.344,33.15
RJ,CENTRO DE DISTRIBUICAO,SC,ANIMALE BALNEARIO SHOP CM,708.117,15.933
SC,ANIMALE BALNEARIO SHOP CM,RJ,CENTRO DE DISTRIBUICAO,708.117,15.933
RJ,CENTRO DE DISTRIBUICAO,PR,ANIMALE BARIGUI CM,674.378,15.174
PR,ANIMALE BARIGUI CM,RJ,CENTRO DE DISTRIBUICAO,674.378,15.174
RJ,CENTRO DE DISTRIBUICAO,BA,ANIMALE BARRA SALVADOR CM,1198.729,26.971
BA,ANIMALE BARRA SALVADOR CM,RJ,CENTRO DE DISTRIBUICAO,1198.729,26.971
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE BARRA SHOP CM,23.628,0.532
RJ,ANIMALE BARRA SHOP CM,RJ,CENTRO DE DISTRIBUICAO,23.628,0.532
RJ,CENTRO DE DISTRIBUICAO,RS,ANIMALE BARRA SUL CM,1126.624,25.349
RS,ANIMALE BARRA SUL CM,RJ,CENTRO DE DISTRIBUICAO,1126.624,25.349
RJ,CENTRO DE DISTRIBUICAO,PE,ANIMALE RECIFE CM,1859.884,41.847
PE,ANIMALE RECIFE CM,RJ,CENTRO DE DISTRIBUICAO,1859.884,41.847
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE RIO DESIGN CM,21.006,0.473
RJ,ANIMALE RIO DESIGN CM,RJ,CENTRO DE DISTRIBUICAO,21.006,0.473
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE RIO SUL CM,22.675,0.51
RJ,ANIMALE RIO SUL CM,RJ,CENTRO DE DISTRIBUICAO,22.675,0.51
RJ,CENTRO DE DISTRIBUICAO,CE,ANIMALE RIOMAR FORTAL CM,2173.947,48.914
CE,ANIMALE RIOMAR FORTAL CM,RJ,CENTRO DE DISTRIBUICAO,2173.947,48.914
RJ,CENTRO DE DISTRIBUICAO,PE,ANIMALE RIOMAR RECIFE CM,1863.091,41.92
PE,ANIMALE RIOMAR RECIFE CM,RJ,CENTRO DE DISTRIBUICAO,1863.091,41.92
RJ,CENTRO DE DISTRIBUICAO,BA,ANIMALE SALVADOR CM,1204.717,27.106
BA,ANIMALE SALVADOR CM,RJ,CENTRO DE DISTRIBUICAO,1204.717,27.106
RJ,CENTRO DE DISTRIBUICAO,DF,ANIMALE IGUATEMI BSB CM,1491.639,33.562
DF,ANIMALE IGUATEMI BSB CM,RJ,CENTRO DE DISTRIBUICAO,1491.639,33.562
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE IGUATEMI SP CM,353.058,7.944
SP,ANIMALE IGUATEMI SP CM,RJ,CENTRO DE DISTRIBUICAO,353.058,7.944
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE IPANEMA CM,24.341,0.548
RJ,ANIMALE IPANEMA CM,RJ,CENTRO DE DISTRIBUICAO,24.341,0.548
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE JK SAO PAULO CM,351.496,7.909
SP,ANIMALE JK SAO PAULO CM,RJ,CENTRO DE DISTRIBUICAO,351.496,7.909
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE ORO IPANEMA CM,24.08,0.542
