FILIAL,COD_FILIAL,TIPO_FILIAL,REGIAO,REDE_LOJAS,AREA_M2,CEP,ENDERECO,BAIRRO,CIDADE,UF
ANIMALE HIGIENOPOLIS CM,190073,LOJA VAREJO              ,SUDESTE,1     ,180,01238000,AV HIGIENOPOLIS,HIGIENOPOLIS,SAO PAULO,SP
ANIMALE ICARAI 02 CM,190074,LOJA VAREJO              ,SUDESTE,1     ,118,24220215,R DOUTOR TAVARES DE MACEDO,ICARAI,NITEROI,RJ
ANIMALE ICARAI CM,190076,LOJA VAREJO              ,SUDESTE,1     ,78,24220071,RUA LOPES TROVAO,ICARAI,NITEROI,RJ
ANIMALE IG FLORIPA CM,190093,LOJA VAREJO              ,SUL,1     ,0,88035000,AV MADRE BENVENUTA,SANTA MONICA,FLORIANOPOLIS,SC
ANIMALE IG RIBEIRAO CM,190091,LOJA VAREJO              ,SUDESTE                  ,1     ,172,14027250,AVENIDA LUIZ EDUARDO TOLEDO PRADO,VILA DO GOLF,RIBEIRAO PRETO,SP
BUZIOS CM,000262,LOJA VAREJO              ,SUDESTE                  ,1     ,129,28950795 ,TRAVESSA DOS PESCADORES                                                                   ,CENTRO                   ,ARMACAO DOS BUZIOS                 ,RJ
ANIMALE ALPHAVILLE CM,190071,LOJA VAREJO              ,SUDESTE,1     ,157,06454000,AL RIO NEGRO,ALPHAVILLE INDUSTRIAL,BARUERI,SP
ANIMALE ARACAJU CM,190255,LOJA VAREJO              ,NORDESTE,1     ,137,49035500,AV DELMIRO GOUVEIA                                                                        ,COROA DO MEIO,ARACAJU,SE
ANIMALE BALNEARIO SHOP CM,190068,LOJA VAREJO              ,SUL                      ,1     ,0,88339005,AV SANTA CATARINA,ESTADOS,BALNEARIO CAMBORIU,SC
ANIMALE BARIGUI CM,190058,LOJA VAREJO              ,SUL,1     ,240,81200100,R. PROF PEDRO VIRIATO PARIGOT DE SOUZA,MOSSUNGUE,CURITIBA,PR
ANIMALE BARRA SALVADOR CM,190063,LOJA VAREJO              ,NORDESTE,1     ,190,40140902,AV CENTENARIO,CHAME-CHAME,SALVADOR,BA
ANIMALE BARRA SHOP CM,190061,LOJA VAREJO              ,SUDESTE,1     ,145,22640102,AV DAS AMERICAS,BARRA DA TIJUCA,RIO DE JANEIRO,RJ
ANIMALE BARRA SUL CM,190070,LOJA VAREJO              ,SUL,1     ,178,90810080,AV DIARIO DE NOTICIAS,CRISTAL,PORTO ALEGRE,RS
ANIMALE RECIFE CM,190082,LOJA VAREJO              ,NORDESTE,1     ,288,51020020,AV CONSELHEIRO AGUIAR,BOA VIAGEM,RECIFE,PE
ANIMALE RIO DESIGN CM,190077,LOJA VAREJO              ,SUDESTE,1     ,183,22793081,AVENIDA DAS AMERICAS,BARRA,RIO DE JANEIRO,RJ
ANIMALE RIO SUL CM,190059,LOJA VAREJO              ,SUDESTE,1     ,180,22290160,RUA LAURO SODRE,BOTAFOGO,RIO DE JANEIRO,RJ
ANIMALE RIOMAR FORTAL CM,190251,LOJA VAREJO              ,NORDESTE                 ,1     ,231,60176065,R DESEMBARGADOR LAURO NOGUEIRA,PAPICU,FORTALEZA,CE
ANIMALE RIOMAR RECIFE CM,190336,LOJA VAREJO              ,NORDESTE                 ,1     ,193,51110160,AV REPUBLICA DO LIBANO,PINA,RECIFE,PE
ANIMALE SALVADOR CM,190064,LOJA VAREJO              ,NORDESTE,1     ,227,41820021,AV TANCREDO NEVES,CAMINHO DAS ARVORES,SALVADOR,BA
ANIMALE IGUATEMI BSB CM,190080,LOJA VAREJO              ,CENTRO OESTE             ,1     ,211,71503504,ST SHI/NORTE CA 04 LOTE A,LAGO NORTE,BRASILIA,DF
ANIMALE IGUATEMI SP CM,190084,LOJA VAREJO              ,SUDESTE,1     ,121,01451000,AV BRIGADEIRO FARIA LIMA,JARDIM PAULISTANO,SAO PAULO,SP
ANIMALE IPANEMA CM,190060,LOJA VAREJO              ,SUDESTE,1     ,68,22420030 ,R JOANA ANGELICA                                                                          ,IPANEMA                  ,RIO DE JANEIRO                     ,RJ
ANIMALE JK SAO PAULO CM,190083,LOJA VAREJO              ,SUDESTE,1     ,217,04543011,AV PRESIDENTE JUSCELINO KUBITSCHEK,VILA NOVA CONCEICAO,SAO PAULO,SP
ANIMALE ORO IPANEMA CM,190295,LOJA VAREJO              ,SUDESTE,1     ,157,22421010,R GARCIA D AVILA,IPANEMA,RIO DE JANEIRO,RJ
ANIMALE OSCAR FREIRE CM,190331,LOJA VAREJO              ,SUDESTE                  ,1     ,176,01426003,RUA OSCAR FREIRE,CERQUEIRA CEZAR,SAO PAULO,SP
ANIMALE PLAZA CM,190075,LOJA VAREJO              ,SUDESTE,1     ,105,24020125,RUA QUINZE DE NOVEMBRO,CENTRO,NITEROI,RJ
ANIMALE PORTO ALEGRE CM,190069,LOJA VAREJO              ,SUL,1     ,129,91349900,AV. JOAO WALLIG,PASSO D AREIA,PORTO ALEGRE,RS
ANIMALE PRAIA DO CANTO CM,190078,LOJA VAREJO              ,SUDESTE,1     ,120,29055643,AV RIO BRANCO,PRAIA DO CANTO,VITORIA,ES
ANIMALE SAO CAETANO CM,190311,LOJA VAREJO              ,SUDESTE,1     ,157,09531190,ALAMEDA TERRACOTA,CERAMICA,SAO CAETANO DO SUL,SP
ANIMALE SAVASSI CM,190315,LOJA VAREJO              ,SUDESTE,1     ,128,30110929,AV DO CONTORNO,FUNCIONARIOS,BELO HORIZONTE,MG
ANIMALE SHOP BATEL CM,190337,LOJA VAREJO              ,SUL                      ,1     ,268,80420090,AV DO BATEL,BATEL,CURITIBA,PR
ANIMALE SHOP BRASILIA CM,190342,LOJA VAREJO              ,CENTRO OESTE,1     ,0,70715900,ST ST SC/N                                                                                ,ASA NORTE,BRASILIA,DF
ANIMALE SHOP LEBLON CM,190062,LOJA VAREJO              ,SUDESTE,1     ,210,22430060,AV AFRANIO DE MELO FRANCO,LEBLON,RIO DE JANEIRO,RJ
ANIMALE SHOP TIJUCA CM,190067,LOJA VAREJO              ,SUDESTE,1     ,0,20511000,AV MARACANA,TIJUCA,RIO DE JANEIRO,RJ
ANIMALE SHOP VITORIA CM,190079,LOJA VAREJO              ,SUDESTE,1     ,240,29050973,AV AMERICO BUAIZ,ENSEADA DO SUA,VITORIA,ES
ANIMALE BELEM CM,190087,LOJA VAREJO              ,NORTE                    ,1     ,189,66053000,AV VISCONDE DE SOUZA FRANCO,REDUTO,BELEM,PA
ANIMALE BH SHOP CM,190323,LOJA VAREJO              ,SUDESTE,1     ,208,30320900,RODOVIA BR 356,BELVEDERE,BELO HORIZONTE,MG
ANIMALE CAMPINAS CM,190072,LOJA VAREJO              ,SUDESTE,1     ,140,13092902,AV IGUATEMI,VILA BRANDINA,CAMPINAS,SP
ANIMALE CAMPO GRANDE CM,190081,LOJA VAREJO              ,CENTRO OESTE,1     ,136,79031900,AV AFONSO PENA,SANTA FE,CAMPO GRANDE,MS
ANIMALE ELDORADO CM,190343,LOJA VAREJO              ,SUDESTE                  ,1     ,0,05402918 ,AVENIDA REBOUÇAS                                                                          ,PINHEIROS                ,SAO PAULO                          ,SP
ANIMALE JOAO PESSOA CM,190341,LOJA VAREJO              ,NORDESTE                 ,1     ,167,58102835,AV. GOVERNADOR FLAVIO RIBEIRO COUTINHO,PARQUE VERDE,CABEDELO,PB
ANIMALE LAGO SUL CM,190086,LOJA VAREJO              ,CENTRO OESTE             ,1     ,166,71615475,ST SHI/SUL QI 05 CL BLOCO B,LAGO SUL,BRASILIA,DF
ANIMALE LONDRINA CM,190285,LOJA VAREJO              ,SUL,1     ,178,86050901,ROD CELSO GARCIA CID,CATUAÍ SHOPPING,LONDRINA,PR
ANIMALE LOURDES CM,190066,LOJA VAREJO              ,SUDESTE                  ,1     ,160,30170132,R SAO PAULO,LOURDES,BELO HORIZONTE,MG
ANIMALE MACEIO CM,190291,LOJA VAREJO              ,NORDESTE                 ,1     ,186,57038000,AV COMENDADOR GUSTAVO PAIVA,CRUZ DAS ALMAS,MACEIO,AL
ANIMALE ESTACAO CUIABA CM,190092,LOJA VAREJO              ,CENTRO OESTE             ,1     ,0,78040365,"AV MIGUEL SUTIL, 9300 LUC 2068 L2",SANTA ROSA,CUIABA,MT
ANIMALE FLAMBOYANT CM,190338,LOJA VAREJO              ,CENTRO OESTE             ,1     ,116,74810907,AV. DEPUTADO JAMEL CECILIO,JARDIM GOIAS,GOIANIA,GO
ANIMALE FLORIANOPOLIS CM,190318,LOJA VAREJO              ,SUL,1     ,132,88015902,RUA BOCAIUVA,CENTRO,FLORIANOPOLIS,SC
ANIMALE FORTALEZA CM,190095,LOJA VAREJO              ,NORDESTE                 ,1     ,0,60811341,AVENIDA WASHINGTON SOARES,EDSON QUEIROZ,FORTALEZA,CE
ANIMALE GAL CAMPINAS CM,190340,LOJA VAREJO              ,SUDESTE                  ,1     ,277,13091605 ,AVENIDA SELMA PARADA                                                                      ,JARDIM MADALENA          ,CAMPINAS                           ,SP
ANIMALE GOIABEIRAS CM,190085,LOJA VAREJO              ,CENTRO OESTE             ,1     ,192,78043900,AV JOSE MONTEIRO DE FIGUEIREDO,DUQUE DE CAXIAS I,CUIABA,MT
ANIMALE SJ RIO PRETO CM,190339,LOJA VAREJO              ,SUDESTE,1     ,0,15093340,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA,IGUATEMI,SAO JOSE DO RIO PRETO,SP
ANIMALE VILA NOVA CM,190316,LOJA VAREJO              ,SUDESTE,1     ,123,04510040,R DOMINGOS LEME,VILA NOVA CONCEICAO,SAO PAULO,SP
ANIMALE VILA VELHA CM,190089,LOJA VAREJO              ,SUDESTE                  ,1     ,199,29100200,AV LUCIANO DAS NEVES,CENTRO,VILA VELHA,ES
ANIMALE VILLA LOBOS CM,190306,LOJA VAREJO              ,SUDESTE,1     ,186,05477903 ,AVENIDA DOUTORA RUTH CARDOSO                                                              ,JARDIM UNIVERSIDADE PINHE,SAO PAULO                          ,SP
ANIMALE VILLAGE MALL CM,190065,LOJA VAREJO              ,SUDESTE,1     ,268,22631003,AV DAS AMERICAS,BARRA DA TIJUCA,RIO DE JANEIRO,RJ
