Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE ICARAI CM,0.225
RJ,ANIMALE ICARAI 02 CM,RJ,BUZIOS CM,126.844
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE BARRA SHOP CM,34.742
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE RIO DESIGN CM,28.54
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE RIO SUL CM,9.301
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE IPANEMA CM,13.226
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE ORO IPANEMA CM,13.534
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE PLAZA CM,6.433
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE SHOP LEBLON CM,13.733
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE SHOP TIJUCA CM,14.673
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE VILLAGE MALL CM,34.742
RJ,ANIMALE ICARAI CM,RJ,BUZIOS CM,126.634
RJ,ANIMALE ICARAI CM,RJ,ANIMALE BARRA SHOP CM,34.964
RJ,ANIMALE ICARAI CM,RJ,ANIMALE RIO DESIGN CM,28.764
RJ,ANIMALE ICARAI CM,RJ,ANIMALE RIO SUL CM,9.525
RJ,ANIMALE ICARAI CM,RJ,ANIMALE IPANEMA CM,13.443
RJ,ANIMALE ICARAI CM,RJ,ANIMALE ORO IPANEMA CM,13.753
RJ,ANIMALE ICARAI CM,RJ,ANIMALE PLAZA CM,6.629
RJ,ANIMALE ICARAI CM,RJ,ANIMALE SHOP LEBLON CM,13.956
RJ,ANIMALE ICARAI CM,RJ,ANIMALE SHOP TIJUCA CM,14.893
RJ,ANIMALE ICARAI CM,RJ,ANIMALE VILLAGE MALL CM,34.964
RJ,BUZIOS CM,RJ,ANIMALE BARRA SHOP CM,161.027
RJ,BUZIOS CM,RJ,ANIMALE RIO DESIGN CM,154.727
RJ,BUZIOS CM,RJ,ANIMALE RIO SUL CM,135.236
RJ,BUZIOS CM,RJ,ANIMALE IPANEMA CM,137.791
RJ,BUZIOS CM,RJ,ANIMALE ORO IPANEMA CM,138.211
RJ,BUZIOS CM,RJ,ANIMALE PLAZA CM,133.199
RJ,BUZIOS CM,RJ,ANIMALE SHOP LEBLON CM,138.975
RJ,BUZIOS CM,RJ,ANIMALE SHOP TIJUCA CM,141.395
RJ,BUZIOS CM,RJ,ANIMALE VILLAGE MALL CM,161.027
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE RIO DESIGN CM,6.3
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE RIO SUL CM,25.86
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE IPANEMA CM,23.313
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE ORO IPANEMA CM,22.886
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE PLAZA CM,28.817
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE SHOP LEBLON CM,22.065
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE SHOP TIJUCA CM,20.124
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE VILLAGE MALL CM,0.0
RJ,ANIMALE RIO DESIGN CM,RJ,ANIMALE RIO SUL CM,19.579
